"id","town","county"
"7467","Sedgefield","Durham"
"7468","Sedgeberrow","Worcestershire"
"7469","Sedbusk","North Yorkshire"
"7470","Seddington","Bedfordshire"
"7471","Sedbury","Gloucestershire"
"7472","Sector","Devon"
"7473","Sedbergh","Cumbria"
"7474","Second Drove","Cambridgeshire"
"7475","Second Coast","Highland"
"7476","Seavington St Michael","Somerset"
"7477","Seawick","Essex"
"7478","Sebastopol","Torfaen"
"7479","Sebergham","Cumbria"
"7480","Seckington","Warwickshire"
"7481","Seavington St Mary","Somerset"
"7482","Seaville","Cumbria"
"7483","Seave Green","North Yorkshire"
"7484","Seaview","Isle of Wight"
"7485","Seaureaugh Moor","Cornwall"
"7486","Seatown","Moray"
"7487","Seatown","Dorset"
"7488","Seaton Sluice","Northumberland"
"7489","Seaton Ross","North Yorkshire"
"7490","Seaton Junction","Devon"
"7491","Seaton Delaval","Northumberland"
"7492","Seaton Burn","Tyne and Wear"
"7493","Seaton Carew","Durham"
"7494","Seaton","Aberdeenshire"
"7495","Seaton","North Yorkshire"
"7496","Seaton","Durham"
"7497","Seaton","Northumberland"
"7498","Seaton","Cumbria"
"7499","Seaton","Cornwall"
"7500","Seaton","Kent"
"7501","Seaton","Cornwall"
"7502","Seaton","Rutland"
"7503","Seaton","Devon"
"7504","Seatle","Cumbria"
"7505","Seatoller","Cumbria"
"7506","Seaside","Perth and Kinross"
"7507","Seathorne","Lincolnshire"
"7508","Seathwaite","Cumbria"
"7509","Seascale","Cumbria"
"7510","Searby","Lincolnshire"
"7511","Seasalter","Kent"
"7512","Seannabhailer","Western Isles"
"7513","Sea Palling","Norfolk"
"7514","Sea Mills","Bristol"
"7515","Seana Bhraigh","Highland"
"7516","Sea Mills","Cornwall"
"7517","Seamill","Ayrshire"
"7518","Sea Mill","Cumbria"
"7519","Seal Skerry","Orkney"
"7520","Seamer","North Yorkshire"
"7521","Seale","Surrey"
"7522","Sealand","Flintshire/Sir Fflint"
"7523","Seahouses","Northumberland"
"7524","Seal","Kent"
"7525","Seaford","East Sussex"
"7526","Seaforth","Merseyside"
"7527","Seaforth Island","Western Isles"
"7528","Seagrave","Leicestershire"
"7529","Seagry Heath","Wiltshire"
"7530","Seaham","Durham"
"7531","Seafield","West Lothian"
"7532","Seafield","West Lothian"
"7533","Seafield","Ayrshire"
"7534","Seafield","Midlothian"
"7535","Seafield","Aberdeenshire"
"7536","Seafar","Lanarkshire"
"7537","Seadyke","Lincolnshire"
"7538","Sea Cut","North Yorkshire"
"7539","Seacroft","Lincolnshire"
"7540","Seacroft","West Yorkshire"
"7541","Seacox Heath","East Sussex"
"7542","Seacourt Stream","Oxfordshire"
"7543","Seacombe","Merseyside"
"7544","Seaburn","Durham"
"7545","Seaborough","Dorset"
"7546","Seabridge","Staffordshire"
"7547","Seabrook","Kent"
"7548","Sea","Somerset"
"7549","Scunthorpe","Lincolnshire"
"7550","Scurdie Ness","Angus"
"7551","Scurlage","Swansea"
"7552","Scurrival Point","Western Isles"
"7553","Sculthorpe","Norfolk"
"7554","Sculcoates","East Riding of Yorkshire"
"7555","Scrwgan","Powys/Powys"
"7556","Scuggate","Cumbria"
"7557","Scruton","North Yorkshire"
"7558","Scropton","Derbyshire"
"7559","Scrub Hill","Lincolnshire"
"7560","Scrooby","Nottinghamshire"
"7561","Scronkey","Lancashire"
"7562","Scriven","North Yorkshire"
"7563","Scremerston","Northumberland"
"7564","Screveton","Nottinghamshire"
"7565","Scrivelsby","Lincolnshire"
"7566","Scremby","Lincolnshire"
"7567","Scredington","Lincolnshire"
"7568","Screedy","Somerset"
"7569","Weston Point","Cheshire"
"7570","Scredda","Cornwall"
"7571","Scrayingham","North Yorkshire"
"7572","Scratby","Norfolk"
"7573","Scrapton","Somerset"
"7574","Scrapsgate","Kent"
"7575","Scraptoft","Leicestershire"
"7576","Scrane End","Lincolnshire"
"7577","Scrainwood","Northumberland"
"7578","Scrafield","Lincolnshire"
"7579","Scragged Oak","Kent"
"7580","Scraesburgh","Scottish Borders"
"7581","Scrabster","Highland"
"7582","Scout Green","Cumbria"
"7583","Scouthead","Lancashire"
"7584","Scowles","Gloucestershire"
"7585","Scout Dike","South Yorkshire"
"7586","Scousburgh","Shetland Isles"
"7587","Scourie","Highland"
"7588","Scoulton","Norfolk"
"7589","Scounslow Green","Staffordshire"
"7590","Scott Willoughby","Lincolnshire"
"7591","Scottow","Norfolk"
"7592","Scotton","North Yorkshire"
"7593","Scotton","Lincolnshire"
"7594","Scotton","North Yorkshire"
"7595","Scotterthorpe","Lincolnshire"
"7596","Scottas","Highland"
"7597","Scotter","Lincolnshire"
"7598","Scotswood","Surrey"
"7599","Scotswood","Tyne and Wear"
"7600","Scotstown","Highland"
"7601","Scotstoun","Glasgow"
"7602","Scots' Gap","Northumberland"
"7603","Scotston","Aberdeenshire"
"7604","Scot Lane End","Lancashire"
"7605","Scotlandwell","Perth and Kinross"
"7606","Scotland Street","Suffolk"
"7607","Scotlands","Staffordshire"
"7608","Scotland Gate","Northumberland"
"7609","Scotland","Leicestershire"
"7610","Scotland End","Oxfordshire"
"7611","Scotland","Lincolnshire"
"7612","Scotland","Berkshire"
"7613","Scotland","Leicestershire"
"7614","Scothern","Lincolnshire"
"7615","Scot Hay","Staffordshire"
"7616","Scotforth","Lancashire"
"7617","Scotgate","West Yorkshire"
"7618","Scotby","Cumbria"
"7619","Scotches","Derbyshire"
"7620","Scotasay","Western Isles"
"7621","Scotbheinn","Western Isles"
"7622","Sco Ruston","Norfolk"
"7623","Scorton","North Yorkshire"
"7624","Scorton","Lancashire"
"7625","Scorriton","Devon"
"7626","Scorrier","Cornwall"
"7627","Score Head","Shetland Isles"
"7628","Scorborough Beck","North Yorkshire"
"7629","Scorborough","North Yorkshire"
"7630","Scopwick","Lincolnshire"
"7631","Scoraig","Highland"
"7632","Scoonieburn","Perth and Kinross"
"7633","Scoonie","Fife"
"7634","Sconser","Highland"
"7635","Scole","Norfolk"
"7636","Scole Common","Norfolk"
"7637","Scofton","Nottinghamshire"
"7638","Scissett","West Yorkshire"
"7639","Scleddau","Pembrokeshire/Sir Benfro"
"7640","School House","Dorset"
"7641","Scilly Bank","Cumbria"
"7642","School Green","Cheshire"
"7643","School Green","West Yorkshire"
"7644","School Green","Essex"
"7645","Schoolgreen","Berkshire"
"7646","School Green","Isle of Wight"
"7647","School Aycliffe","Durham"
"7648","Scholes","South Yorkshire"
"7649","Scholey Hill","West Yorkshire"
"7650","Scholes","West Yorkshire"
"7651","Scayne's Hill","West Sussex"
"7652","Scethrog","Powys/Powys"
"7653","Scholar Green","Cheshire"
"7654","Scholemoor","West Yorkshire"
"7655","Scholes","Durham"
"7656","Scholes","West Yorkshire"
"7657","Scholes","Lancashire"
"7658","Scawton","North Yorkshire"
"7659","Scawsby","South Yorkshire"
"7660","Scawthorpe","South Yorkshire"
"7661","Scawby","Lincolnshire"
"7662","Scaur Water","Dumfries and Galloway"
"7663","Scaur (Kippford)","Dumfries and Galloway"
"7664","Scatsta","Shetland Isles"
"7665","Scatness","Shetland Isles"
"7666","Scarwell","Orkney"
"7667","Scartho","Lincolnshire"
"7668","Scarvister","Shetland Isles"
"7669","Scar Water","Dumfries and Galloway"
"7670","Scarthingwell","North Yorkshire"
"7671","Scarth Hill","Lancashire"
"7672","Scarr, The","Gloucestershire"
"7673","Scarrington","Nottinghamshire"
"7674","Scarning","Norfolk"
"7675","Scarp","Western Isles"
"7676","Scarness","Cumbria"
"7677","Scarisbrick","Lancashire"
"7678","Scarcewater","Cornwall"
"7679","Scarcliffe","Derbyshire"
"7680","Scarcroft","West Yorkshire"
"7681","Scarfskerry","Highland"
"7682","Scargill","Durham"
"7683","Scar Head","Cumbria"
"7684","Scar House Reservoir","North Yorkshire"
"7685","Scarinish","Argyll and Bute"
"7686","Scarba","Argyll and Bute"
"7687","Scarborough","North Yorkshire"
"7688","Scarastavore","Western Isles"
"7689","Scarastabeg","Western Isles"
"7690","Scapegoat Hill","West Yorkshire"
"7691","Scapa Bay","Orkney"
"7692","Scapa Flow","Orkney"
"7693","Scampton","Lincolnshire"
"7694","Scanda","Cumbria"
"7695","Scamodale","Highland"
"7696","Scampston","North Yorkshire"
"7697","Scamland","North Yorkshire"
"7698","Scamblesby","Lincolnshire"
"7699","Scalpay","Highland"
"7700","Scalpay","Western Isles"
"7701","Scalloway","Shetland Isles"
"7702","Scalford","Leicestershire"
"7703","Scaling","West Yorkshire"
"7704","Scales","Cumbria"
"7705","Scale Hall","Lancashire"
"7706","Scalebyhill","Cumbria"
"7707","Scaldwell","Northamptonshire"
"7708","Scaleby","Cumbria"
"7709","Scald End","Bedfordshire"
"7710","Scalby","North Yorkshire"
"7711","Scalasaig","Argyll and Bute"
"7712","Scaladale River","Western Isles"
"7713","Scaitcliffe","Lancashire"
"7714","Scadabhagh","Western Isles"
"7715","Scafell Pike","Cumbria"
"7716","Scaftworth","Nottinghamshire"
"7717","Scagglethorpe","North Yorkshire"
"7718","Scackleton","North Yorkshire"
"7719","Saxton","North Yorkshire"
"7720","Sayers Common","West Sussex"
"7721","Saxthorpe","Norfolk"
"7722","Saxtead Little Green","Suffolk"
"7723","Saxtead","Suffolk"
"7724","Saxtead Green","Suffolk"
"7725","Saxon Street","Cambridgeshire"
"7726","Saxondale","Nottinghamshire"
"7727","Saxmundham","Suffolk"
"7728","Saxlingham Nethergate","Norfolk"
"7729","Saxilby","Lincolnshire"
"7730","Saxlingham","Norfolk"
"7731","Saxlingham Green","Norfolk"
"7732","Saxham Street","Suffolk"
"7733","Saxelbye","Leicestershire"
"7734","Saxby","West Sussex"
"7735","Saxby","Lincolnshire"
"7736","Saxby","Leicestershire"
"7737","Saxby All Saints","Lincolnshire"
"7738","Sawyers Hill","Wiltshire"
"7739","Sawyer's Hill","Somerset"
"7740","Sawtry","Cambridgeshire"
"7741","Sawston","Cambridgeshire"
"7742","Sawood","West Yorkshire"
"7743","Sawley","Lancashire"
"7744","Sawley","Leicestershire"
"7745","Sawbridgeworth","Hertfordshire"
"7746","Sawdon","North Yorkshire"
"7747","Sawley","North Yorkshire"
"7748","Sawbridge","Warwickshire"
"7749","Savile Park","Durham"
"7750","Savile Town","West Yorkshire"
"7751","Saveock","Cornwall"
"7752","Saverley Green","Staffordshire"
"7753","Saval","Highland"
"7754","Saunton","Devon"
"7755","Sausthorpe","Lincolnshire"
"7756","Saunderton Lee","Buckinghamshire"
"7757","Saunderton","Buckinghamshire"
"7758","Saundersfoot","Pembrokeshire/Sir Benfro"
"7759","Saundby","Nottinghamshire"
"7760","Saughtree","Scottish Borders"
"7761","Saul","Gloucestershire"
"7762","Saughton","Edinburgh"
"7763","Saughall Massie","Merseyside"
"7764","Saughall","Cheshire"
"7765","Sauchen","Aberdeenshire"
"7766","Saucher","Perth and Kinross"
"7767","Satwell","Oxfordshire"
"7768","Satterthwaite","Cumbria"
"7769","Satron","North Yorkshire"
"7770","Satterleigh","Devon"
"7771","Satmar","Kent"
"7772","Sascott","Shropshire"
"7773","Satley","Durham"
"7774","Sartfield","Isle of Man"
"7775","Sarsden Halt","Oxfordshire"
"7776","Sarsden","Oxfordshire"
"7777","Sarratt","Hertfordshire"
"7778","Sarre","Kent"
"7779","Saron","Denbighshire/Sir Ddinbych"
"7780","Saron","Gwynedd/Gwynedd"
"7781","Saron","Carmarthenshire/Sir Gaerfyrddin"
"7782","Sarn Meyllteyrn","Gwynedd/Gwynedd"
"7783","Sarnesfield","Herefordshire"
"7784","Sarn-bach","Gwynedd/Gwynedd"
"7785","Sarnau","Powys/Powys"
"7786","Sarnau","Gwynedd/Gwynedd"
"7787","Sarn","Flintshire/Sir Fflint"
"7788","Sarnau","Cardiganshire/Ceredigion"
"7789","Sarnau","Powys/Powys"
"7790","Sarn","Glamorgan/Morgannwg"
"7791","Sarisbury","Hampshire"
"7792","Sarn","Powys/Powys"
"7793","Sarclet","Highland"
"7794","Sardis","Pembrokeshire/Sir Benfro"
"7795","Sardis","Carmarthenshire/Sir Gaerfyrddin"
"7796","Saracen's Head","Lincolnshire"
"7797","Sapperton","Lincolnshire"
"7798","Sapperton","Derbyshire"
"7799","Sapperton","Gloucestershire"
"7800","Sapiston","Suffolk"
"7801","Sapley","Cambridgeshire"
"7802","Sapey Common","Herefordshire"
"7803","Sapcote","Leicestershire"
"7804","Sapey Bridge","Herefordshire"
"7805","Santon Head","Isle of Man"
"7806","Santon Downham","Suffolk"
"7807","Santon","Lincolnshire"
"7808","Santon Bridge","Cumbria"
"7809","Santon","Cumbria"
"7810","Sanquhar","Dumfries and Galloway"
"7811","Sansaw Heath","Shropshire"
"7812","Sanndabhaig","Western Isles"
"7813","Sannox","Ayrshire"
"7814","Sanna Point","Highland"
"7815","Sanna","Highland"
"7816","Sankey Brook","Cheshire"
"7817","Sankyns Green","Worcestershire"
"7818","Sankey Bridges","Cheshire"
"7819","Sangomore","Highland"
"7820","Sanham Green","Berkshire"
"7821","Sangobeg","Highland"
"7822","Sandy Way","Isle of Wight"
"7823","Sandy Lane","Wiltshire"
"7824","Sandy Lane","West Yorkshire"
"7825","Sandy Lane","Wrexham"
"7826","Sandylane","Swansea"
"7827","Sandylands","Somerset"
"7828","Sandylands","Lancashire"
"7829","Sandylake","Cornwall"
"7830","Sandygate","South Yorkshire"
"7831","Sandy Haven","Pembrokeshire/Sir Benfro"
"7832","Sandygate","Isle of Man"
"7833","Sandygate","Devon"
"7834","Sandy Gate","Devon"
"7835","Sandy Cross","East Sussex"
"7836","Sandy Down","Hampshire"
"7837","Sandyford","Staffordshire"
"7838","Sandy Brook","Lancashire"
"7839","Sandy Carrs","Durham"
"7840","Sandycroft","Flintshire/Sir Fflint"
"7841","Sandy Cross","Surrey"
"7842","Sandy Bank","Lincolnshire"
"7843","Sandy","Carmarthenshire/Sir Gaerfyrddin"
"7844","Sandwith Newtown","Cumbria"
"7845","Sandwood Loch","Highland"
"7846","Sandy","Bedfordshire"
"7847","Sandwick","Shetland Isles"
"7848","Sandwith","Cumbria"
"7849","Sandwich Bay Estate","Kent"
"7850","Sandway","Kent"
"7851","Sandwell","West Midlands"
"7852","Sandwich","Kent"
"7853","Sandvoe","Shetland Isles"
"7854","Sandsound","Shetland Isles"
"7855","Sandtoft","Lincolnshire"
"7856","Sandside Burn","Highland"
"7857","Sandside","Cumbria"
"7858","Sand Side","Lancashire"
"7859","Sand Side","Cumbria"
"7860","Sand Side","Dumfries and Galloway"
"7861","Sands","Buckinghamshire"
"7862","Sands End","London"
"7863","Sandsend","North Yorkshire"
"7864","Sandridge","Hertfordshire"
"7865","Sandringham","Norfolk"
"7866","Sandray","Western Isles"
"7867","Sand Point","Somerset"
"7868","Sandplace","Cornwall"
"7869","Sandpit","Dorset"
"7870","Sandpits","Gloucestershire"
"7871","Sandown","Isle of Wight"
"7872","Sandown Park","Kent"
"7873","Sandon","Staffordshire"
"7874","Sandonbank","Staffordshire"
"7875","Sandon","Essex"
"7876","Sandon","Hertfordshire"
"7877","Sandling","Kent"
"7878","Sandlow Green","Cheshire"
"7879","Sandness","Shetland Isles"
"7880","Sandleigh","Oxfordshire"
"7881","Sandleheath","Hampshire"
"7882","Sandiway","Cheshire"
"7883","Sandleheath","Dorset"
"7884","Sandilands","Lincolnshire"
"7885","Sandilands","Lanarkshire"
"7886","Sandiacre","Derbyshire"
"7887","Sandhutton","North Yorkshire"
"7888","Sand Hutton","North Yorkshire"
"7889","Sandhurst Cross","East Sussex"
"7890","Sandhurst","Berkshire"
"7891","Sandhurst","Kent"
"7892","Sandhurst","Gloucestershire"
"7893","Sandholme","North Yorkshire"
"7894","Sandholme","Lincolnshire"
"7895","Sand Hole","North Yorkshire"
"7896","Sandhole","Argyll and Bute"
"7897","Sandhills","Lancashire"
"7898","Sandhoe","Northumberland"
"7899","Sandhills","West Yorkshire"
"7900","Sandhills","Oxfordshire"
"7901","Sandhill","South Yorkshire"
"7902","Sandhills","Surrey"
"7903","Sandhills","Dorset"
"7904","Sandhill","Cambridgeshire"
"7905","Sandhill","Buckinghamshire"
"7906","Sandhaven","Aberdeenshire"
"7907","Sandhead","Dumfries and Galloway"
"7908","Sandgreen","Dumfries and Galloway"
"7909","Sandgate","Kent"
"7910","Sand Gate","Cumbria"
"7911","Sandford St Martin","Oxfordshire"
"7912","Sandford Orcas","Dorset"
"7913","Sandford-on-Thames","Oxfordshire"
"7914","Sandford Hill","Staffordshire"
"7915","Sandfordhill","Aberdeenshire"
"7916","Sandford","Shropshire"
"7917","Sandford Batch","Somerset"
"7918","Sandford","Cumbria"
"7919","Sandford","Lanarkshire"
"7920","Sandford","West Yorkshire"
"7921","Sandford","Somerset"
"7922","Sandford","Hampshire"
"7923","Sandford","Shropshire"
"7924","Sandford","Devon"
"7925","Sandford","Isle of Wight"
"7926","Sandford","Dorset"
"7927","Sandfields","Staffordshire"
"7928","Sandfields","Neath Port Talbot"
"7929","Sanderstead","London"
"7930","Sandend","Aberdeenshire"
"7931","Sandbraes","Lincolnshire"
"7932","Sandborough","Staffordshire"
"7933","Sandbanks","Dorset"
"7934","Sandbach Heath","Cheshire"
"7935","Sandbank","Argyll and Bute"
"7936","Sandbach","Cheshire"
"7937","Sanday","Highland"
"7938","Sandavore","Highland"
"7939","Sanday","Orkney"
"7940","Sandale","Cumbria"
"7941","Sandal Magna","West Yorkshire"
"7942","Sandal","West Yorkshire"
"7943","Sanda Island","Argyll and Bute"
"7944","Sandaig","Argyll and Bute"
"7945","Sand","Highland"
"7946","Sand","Shetland Isles"
"7947","Sand","Somerset"
"7948","Sancton","North Yorkshire"
"7949","Sanachan","Highland"
"7950","Sancreed","Cornwall"
"7951","Samuelston","East Lothian"
"7952","Samuel's Corner","Essex"
"7953","Samphrey","Shetland Isles"
"7954","Samson","Cornwall"
"7955","Sampford Peverell","Devon"
"7956","Sampford Spiney","Devon"
"7957","Sampford Moor","Devon"
"7958","Sampford Courtenay","Devon"
"7959","Sampford Chapple","Devon"
"7960","Sampford Arundel","Somerset"
"7961","Sampford Brett","Somerset"
"7962","Sambrook","Shropshire"
"7963","Samhla","Western Isles"
"7964","Samlesbury","Lancashire"
"7965","Samlesbury Bottoms","Lancashire"
"7966","Sambourne","Wiltshire"
"7967","Sambourne","Warwickshire"
"7968","Salwayash","Dorset"
"7969","Salwarpe","Worcestershire"
"7970","Salum","Argyll and Bute"
"7971","Salvington","West Sussex"
"7972","Saltwood","Kent"
"7973","Saltwell","Durham"
"7974","Saltwick","Northumberland"
"7975","Saltney","Flintshire/Sir Fflint"
"7976","Salton","North Yorkshire"
"7977","Saltrens","Devon"
"7978","Saltness","Orkney"
"7979","Saltmarshe","North Yorkshire"
"7980","Saltley","West Midlands"
"7981","Saltmarsh","Newport"
"7982","Salthouse","Norfolk"
"7983","Salt Hill","Berkshire"
"7984","Salthouse","Cumbria"
"7985","Saltford","Somerset"
"7986","Saltfleetby St Peter","Lincolnshire"
"7987","Saltfleetby St Clement","Lincolnshire"
"7988","Saltfleetby All Saints","Lincolnshire"
"7989","Salterswall","Cheshire"
"7990","Salterton","Wiltshire"
"7991","Saltfleet","Lincolnshire"
"7992","Salters Lode","Norfolk"
"7993","Salter Street","Warwickshire"
"7994","Salters Heath","Hampshire"
"7995","Saltershill","Shropshire"
"7996","Salterforth","Lancashire"
"7997","Salt End","North Yorkshire"
"7998","Salterbeck","Cumbria"
"7999","Saltcoats","East Lothian"
"8000","Salt Cotes","Cumbria"
"8001","Saltcotes","Lancashire"
"8002","Saltdean","East Sussex"
"8003","Saltcoats","Ayrshire"
"8004","Saltcoats","Cumbria"
"8005","Saltby","Leicestershire"
"8006","Saltburn-By-The-Sea","North Yorkshire"
"8007","Saltburn","Highland"
"8008","Salta","Cumbria"
"8009","Saltaire","West Yorkshire"
"8010","Saltash","Cornwall"
"8011","Salt","Staffordshire"
"8012","Salsburgh","Lanarkshire"
"8013","Salph End","Bedfordshire"
"8014","Salperton Park","Gloucestershire"
"8015","Salperton","Gloucestershire"
"8016","Salmonhutch","Devon"
"8017","Salmonby","Lincolnshire"
"8018","Salle","Norfolk"
"8019","Salmans","Kent"
"8020","Sallachy","Highland"
"8021","Salkeld Dykes","Cumbria"
"8022","Salisbury Plain","Wiltshire"
"8023","Saline","Fife"
"8024","Salisbury","Wiltshire"
"8025","Salford Priors","Warwickshire"
"8026","Salfords","Surrey"
"8027","Salhouse","Norfolk"
"8028","Salford Ford","Buckinghamshire"
"8029","Salford","Manchester"
"8030","Salford","Oxfordshire"
"8031","Salford","Bedfordshire"
"8032","Salesbury","Lancashire"
"8033","Saleway","Worcestershire"
"8034","Salenside","Scottish Borders"
"8035","Salen","Highland"
"8036","Salendine Nook","West Yorkshire"
"8037","Salen","Argyll and Bute"
"8038","Salem","Cornwall"
"8039","Salem","Cardiganshire/Ceredigion"
"8040","Salem","Carmarthenshire/Sir Gaerfyrddin"
"8041","Saintbridge","Gloucestershire"
"8042","Saintbury","Gloucestershire"
"8043","Saint Hill","Devon"
"8044","Saint Leonards","Lanarkshire"
"8045","Saint's Hill","Kent"
"8046","Saith ffynnon","Flintshire/Sir Fflint"
"8047","Salachie Burn","Highland"
"8048","Salcombe","Devon"
"8049","Salcombe Regis","Devon"
"8050","Salcott","Essex"
"8051","Salden","Buckinghamshire"
"8052","Sale","Manchester"
"8053","Saleby","Lincolnshire"
"8054","Sale Green","Worcestershire"
"8055","Salehurst","East Sussex"
"8056","Saham Toney","Norfolk"
"8057","Saighton","Cheshire"
"8058","Saham Hills","Norfolk"
"8059","Sageston","Pembrokeshire/Sir Benfro"
"8060","Saffron Walden","Essex"
"8061","Saffron's Cross","Herefordshire"
"8062","Sadgill","Cumbria"
"8063","Saddle Street","Dorset"
"8064","Saddlescombe","West Sussex"
"8065","Saddle Bow","Norfolk"
"8066","Saddington","Leicestershire"
"8067","Saddell","Argyll and Bute"
"8068","Sadberge","Durham"
"8069","Sacriston","Durham"
"8070","Sacquoy Head","Orkney"
"8071","Sacombe Green","Hertfordshire"
"8072","Sacombe","Hertfordshire"
"8073","Sackers Green","Suffolk"
"8074","Sabiston","Orkney"
"8075","Sabine's Green","Essex"
"8076","Ryton","Shropshire"
"8077","Ryton-on-Dunsmore","Warwickshire"
"8078","Ryton Woodside","Durham"
"8079","Saasaig","Highland"
"8080","Sabden","Lancashire"
"8081","Ryton","Durham"
"8082","Ryton","North Yorkshire"
"8083","Ryton","Gloucestershire"
"8084","Ryther","North Yorkshire"
"8085","Ryton","Nottinghamshire"
"8086","Ryton","Warwickshire"
"8087","Ryton","Gloucestershire"
"8088","Rysa Little","Orkney"
"8089","Ryme Intrinseca","Dorset"
"8090","Rylstone","North Yorkshire"
"8091","Rylah","Derbyshire"
"8092","Rylands","Nottinghamshire"
"8093","Ryhope","Durham"
"8094","Ryhope Colliery","Durham"
"8095","Ryeworth","Gloucestershire"
"8096","Ryhall","Rutland"
"8097","Ryhill","West Yorkshire"
"8098","Rye Water","Ayrshire"
"8099","Rye Street","Worcestershire"
"8100","Rye Park","Hertfordshire"
"8101","Ryelands","Herefordshire"
"8102","Ryehill","Aberdeenshire"
"8103","Ryeish Green","Berkshire"
"8104","Ryehill","North Yorkshire"
"8105","Rye Harbour","East Sussex"
"8106","Rye Foreign","East Sussex"
"8107","Ryeford","Gloucestershire"
"8108","Ryecroft Gate","Staffordshire"
"8109","Ryecroft","West Yorkshire"
"8110","Ryecroft","South Yorkshire"
"8111","Rye Common","Hampshire"
"8112","Ryebank","Shropshire"
"8113","Rye","North Yorkshire"
"8114","Rye","East Sussex"
"8115","Rydeshill","Surrey"
"8116","Rydon","Devon"
"8117","Rydal","Cumbria"
"8118","Ryde","Isle of Wight"
"8119","Rydens","Surrey"
"8120","Rychraggan","Highland"
"8121","Ryarsh","Kent"
"8122","Ryburn","Durham"
"8123","Ryall","Dorset"
"8124","Ruyton-XI-Towns","Shropshire"
"8125","Ryal","Northumberland"
"8126","Ryall","Dorset"
"8127","Ruxton Green","Herefordshire"
"8128","Ruxley","London"
"8129","Ruxton","Herefordshire"
"8130","Ruthwell","Dumfries and Galloway"
"8131","Rutland Water","Leicestershire"
"8132","Ruthwaite","Cumbria"
"8133","Ruthvoes","Cornwall"
"8134","Ruthven","Highland"
"8135","Ruthven Water","Perth and Kinross"
"8136","Ruthven","Angus"
"8137","Ruthven","Aberdeenshire"
"8138","Ruthrieston","Aberdeenshire"
"8139","Ruthin","Glamorgan/Morgannwg"
"8140","Ruthall","Shropshire"
"8141","Rutherglen","Glasgow"
"8142","Ruthernbridge","Cornwall"
"8143","Ruthin (Rhuthun)","Denbighshire/Sir Ddinbych"
"8144","Ruswarp","North Yorkshire"
"8145","Ruston Parva","North Yorkshire"
"8146","Rustington","West Sussex"
"8147","Rusthall","Kent"
"8148","Russ Hill","Surrey"
"8149","Russland","Orkney"
"8150","Russel's Green","Suffolk"
"8151","Russell's Water","Oxfordshire"
"8152","Russell's Hall","West Midlands"
"8153","Russell's Green","East Sussex"
"8154","Ruspidge","Gloucestershire"
"8155","Russell Hill","London"
"8156","Rusper","West Sussex"
"8157","Rusland","Cumbria"
"8158","Rusling End","Hertfordshire"
"8159","Ruskington","Lincolnshire"
"8160","Ruskie","Stirling"
"8161","Rushy Green","East Sussex"
"8162","Rusk Holm","Orkney"
"8163","Rushyford","Durham"
"8164","Rushton Spencer","Staffordshire"
"8165","Rushwick","Worcestershire"
"8166","Rushton","North Yorkshire"
"8167","Rushton","Cheshire"
"8168","Rushton","Shropshire"
"8169","Rushton","Dorset"
"8170","Rushton","Northamptonshire"
"8171","Rushock","Worcestershire"
"8172","Rusholme","Manchester"
"8173","Rushmore Hill","London"
"8174","Rushmoor","Shropshire"
"8175","Rushmore","Hampshire"
"8176","Rushmere Street","Suffolk"
"8177","Rushmoor","Surrey"
"8178","Rushmere","Bedfordshire"
"8179","Rushmere St Andrew","Suffolk"
"8180","Rushley Island","Essex"
"8181","Rushmere","Suffolk"
"8182","Rushley Green","Essex"
"8183","Rushland Cross","Cumbria"
"8184","Rushlake Green","East Sussex"
"8185","Rushington","Hampshire"
"8186","Rush Green","Norfolk"
"8187","Rush Hill","Somerset"
"8188","Rushgreen","Cheshire"
"8189","Rush Green","London"
"8190","Rush Green","Hertfordshire"
"8191","Rush Green","Essex"
"8192","Rush Green","Hertfordshire"
"8193","Rushford","Suffolk"
"8194","Rushford Beck","Durham"
"8195","Rushford","Devon"
"8196","Rushey Mead","Leicestershire"
"8197","Rusher's Cross","East Sussex"
"8198","Rushenden","Kent"
"8199","Rushden","Hertfordshire"
"8200","Rushcombe Bottom","Dorset"
"8201","Rushden","Northamptonshire"
"8202","Rushbury","Shropshire"
"8203","Rushbrooke","Suffolk"
"8204","Rushall Canal","Staffordshire"
"8205","Rushall","Wiltshire"
"8206","Rushall","Staffordshire"
"8207","Ruscote","Oxfordshire"
"8208","Rushall","Norfolk"
"8209","Rushall","Herefordshire"
"8210","Ruscombe","Berkshire"
"8211","Ruscombe","Gloucestershire"
"8212","Runswick Bay","North Yorkshire"
"8213","Runwell","Essex"
"8214","Runshaw Moor","Lancashire"
"8215","Runsell Green","Essex"
"8216","Running Waters","Durham"
"8217","Runnington","Somerset"
"8218","Runham","Norfolk"
"8219","Running Hill Head","Lancashire"
"8220","Runhall","Norfolk"
"8221","Runcton","West Sussex"
"8222","Runcton Holme","Norfolk"
"8223","Runfold","Surrey"
"8224","Rumwell","Somerset"
"8225","Runcorn","Cheshire"
"8226","Rumsdale Water","Highland"
"8227","Rumsam","Devon"
"8228","Rumford","Stirling"
"8229","Rumney","Cardiff/Caerdydd"
"8230","Rumford","Cornwall"
"8231","Rumer Hill","Staffordshire"
"8232","Rumburgh","Suffolk"
"8233","Rumbush","West Midlands"
"8234","Rumbow Cottages","Worcestershire"
